,company,industry,foundation year,head quarter
0,Apple,Technology,1976,"Cupertino, California, USA"
1,Tesla,Technology,2003,"Austin, Texas, USA"
2,Alphabet Inc.,Technology,2015,"Mountain View, California, USA"
3,Atlassian,Technology,2002,"Sydney, Australia"
4,Commonwealth Bank,Financial Service,1911,"Sydney, Australia"
5,BlackRock,Financial Service,1988,"New York, USA"
6,Citadel LLC,Financial Service,1990,"Chicago, Illinois, USA"
7,Siemens,Energy,1847,"Berlin, Germany"
8,Rio Tinto,Energy,1873,"London, United Kingdom"
9,Exxon Mobil Corp,Energy,1999,"Houston, Texas, USA"
10,Nvidia,Technology,1993,"Santa Clara, California, USA"
11,Foxconn Technology Group,Technology,1974,"Taipei, Taiwan"
